temps;MGA;MDR;GAS
temps;Commande Moteur Gauche;Commande Moteur Droit;Consigne Gaz
0000.087;04344;06880;0204
0000.187;04344;06801;0204
0000.286;04344;06969;0204
0000.386;04344;07329;0204
0000.488;04344;07304;0204
0000.587;04344;07333;0204
0000.689;04344;07283;0204
0000.789;04344;07333;0204
0000.889;04344;07304;0204
0000.988;04344;07333;0204
0001.088;04344;07304;0204
0001.187;04344;07333;0204
0001.287;04344;07304;0204
0001.386;04344;07333;0204
0001.486;04344;07333;0204
0001.588;04344;07333;0204
0001.688;04344;07247;0204
0001.787;04344;07304;0204
0001.887;04344;07304;0204
0001.986;04344;07304;0204
0002.086;04344;07304;0204
0002.185;04344;07333;0204
0002.285;04344;07333;0204
0002.384;04344;07283;0204
0002.486;04344;07304;0204
0002.586;04344;05674;0204
0002.686;04915;04344;0204
0002.785;04669;04344;0204
0002.885;04344;04833;0204
0002.984;04344;05211;0204
0003.084;04344;05089;0204
0003.183;04344;04979;0204
0003.283;04344;04883;0204
0003.485;04344;04893;0204
0003.584;04344;04943;0204
0003.684;04344;04883;0204
0003.783;04344;04965;0204
0003.883;04344;04811;0204
0003.982;04344;04797;0204
0004.082;04344;04872;0204
0004.181;04344;04972;0204
0004.383;04344;04786;0204
0004.483;04344;04822;0204
0004.582;04344;05018;0204
0004.682;04344;04933;0204
0004.781;04344;04950;0204
0004.881;04344;04872;0204
0004.980;04344;04868;0204
0005.080;04344;05097;0204
0005.282;04344;04908;0204
0005.381;04344;04879;0204
0005.481;04344;04893;0204
0005.580;04344;05047;0204
0005.680;04344;04975;0204
0005.779;04344;04758;0204
0005.879;04344;04890;0204
0005.978;04344;04893;0204
0006.180;04344;04883;0204
0006.280;04344;04883;0204
0006.379;04344;04975;0204
0006.479;04344;04865;0204
0006.578;04344;04965;0204
0006.678;04344;04975;0204
0006.777;04344;04801;0204
0006.877;04344;04854;0204
0007.079;04344;04947;0204
0007.178;04344;04911;0204
0007.278;04344;05047;0204
0007.377;04344;04865;0204
0007.477;04344;04843;0204
0007.576;04344;04922;0204
0007.676;04344;04908;0204
0007.775;04344;04836;0204
0007.875;04344;04975;0204
0007.977;04344;04865;0204
0008.077;04344;04908;0204
0008.176;04344;04965;0204
0008.276;04344;04936;0204
0008.375;04344;04979;0204
0008.477;04344;04779;0204
0008.577;04344;04901;0204
0008.676;04344;05007;0204
0008.776;04344;04897;0204
0008.876;04344;04829;0204
0008.976;04344;04947;0204
0009.075;04344;04886;0204
0009.175;04344;04918;0204
0009.275;04344;04940;0204
0009.374;04344;04901;0204
0009.474;04344;05136;0204
0009.573;04344;04883;0204
0009.675;04344;04904;0204
0009.775;04344;04918;0204
0009.875;04344;04943;0204
0009.974;04344;04933;0204
0010.074;04344;04915;0204
0010.173;04344;04940;0204
0010.273;04344;04990;0204
0010.372;04344;04925;0204
0010.472;04344;04840;0204
0010.572;04344;04990;0204
0010.674;04344;04840;0204
0010.773;04344;04954;0204
0010.873;04344;04940;0204
0010.972;04344;04868;0204
0011.072;04344;04833;0204
0011.171;04344;04975;0204
0011.271;04344;04915;0204
0011.371;04344;04886;0204
0011.470;04344;04961;0204
0011.672;04344;04883;0204
0011.771;04344;04997;0204
0011.871;04344;04829;0204
0011.970;04344;04918;0204
0012.070;04344;04904;0204
0012.170;04344;04904;0204
0012.269;04344;04790;0204
0012.369;04344;04925;0204
0012.570;04344;04961;0204
0012.670;04344;05000;0204
0012.770;04344;04904;0204
0012.870;04344;05040;0204
0012.970;04344;04908;0204
0013.069;04344;04922;0204
0013.169;04344;04940;0204
0013.268;04344;04961;0204
0013.368;04344;04901;0204
0013.467;04344;04829;0204
0013.567;04344;04811;0204
0013.666;04344;04904;0204
0013.866;04344;04876;0204
0013.968;04344;05004;0204
0014.067;04344;04865;0204
0014.167;04344;04865;0204
0014.267;04344;04943;0204
0014.366;04344;05004;0204
0014.466;04344;04833;0204
0014.570;04344;04872;0204
0014.670;04344;05036;0204
0014.769;04344;04990;0204
0014.869;04344;04890;0204
0014.969;04344;04865;0204
0015.069;04344;04922;0204
0015.168;04344;04922;0204
0015.268;04344;04836;0204
0015.367;04344;04983;0204
0015.470;04344;04879;0204
0015.569;04344;04804;0204
0015.669;04344;04794;0204
0015.768;04344;04979;0204
0015.868;04344;05004;0204
0016.069;04344;04808;0204
0016.169;04344;05025;0204
0016.268;04344;04915;0204
0016.368;04344;04794;0204
0016.468;04344;05011;0204
0016.567;04344;04879;0204
0016.667;04344;04786;0204
0016.766;04344;04943;0204
0016.966;04344;04936;0204
0017.068;04344;04808;0204
0017.167;04344;04918;0204
0017.267;04344;04783;0204
0017.366;04344;04993;0204
0017.466;04344;04922;0204
0017.566;04344;04961;0204
0017.665;04344;04918;0204
0017.765;04344;05082;0204
0017.864;04344;04890;0204
0017.966;04344;04918;0204
0018.066;04344;04747;0204
0018.165;04344;04868;0204
0018.265;04344;04961;0204
0018.364;04344;04836;0204
0018.464;04344;04829;0204
0018.564;04344;05032;0204
0018.663;04344;04851;0204
0018.763;04344;04922;0204
0018.865;04344;04958;0204
0018.964;04344;04883;0204
0019.064;04344;04897;0204
0019.163;04344;04751;0204
0019.263;04344;04947;0204
0019.363;04344;04904;0204
0019.462;04344;04861;0204
0019.562;04344;04961;0204
0019.664;04344;04922;0204
0019.763;04344;04833;0204
0019.863;04344;04865;0204
0019.962;04344;04983;0204
0020.062;04344;04804;0204
0020.161;04344;04979;0204
0020.361;04344;04847;0204
0020.461;04344;04911;0204
0020.563;04344;04851;0204
0020.663;04344;04961;0204
0020.762;04344;04933;0204
0020.862;04344;04843;0204
0020.961;04344;04865;0204
0021.061;04344;04997;0204
0021.160;04344;04904;0204
0021.260;04344;04879;0204
0021.359;04344;04922;0204
0021.461;04344;04968;0204
0021.561;04344;04847;0204
0021.661;04344;04851;0204
0021.760;04344;05015;0204
0021.860;04344;05040;0204
0021.959;04344;04808;0204
